Type	B_Start	B_End	B_Peak	C_Index	C_Beg	C_End	C_Peak
decel	10968	11114	11034	-842150451	-842150451	-842150451	-842150451	
decel	11216	11364	11329	-842150451	-842150451	-842150451	-842150451	
accel	11360	11497	11426	-842150451	-842150451	-842150451	-842150451	
decel	11504	11585	11541	-842150451	-842150451	-842150451	-842150451	
accel	11782	11964	11882	-842150451	-842150451	-842150451	-842150451	
decel	11955	12368	12096	-842150451	-842150451	-842150451	-842150451	
accel	12330	12396	12363	-842150451	-842150451	-842150451	-842150451	
accel	12536	12599	12568	-842150451	-842150451	-842150451	-842150451	
accel	12657	12737	12690	-842150451	-842150451	-842150451	-842150451	
decel	13039	13108	13073	-842150451	-842150451	-842150451	-842150451	
accel	13109	13267	13138	-842150451	-842150451	-842150451	-842150451	
decel	13840	61437	61004	-842150451	-842150451	-842150451	-842150451	
accel	61682	62386	62248	-842150451	-842150451	-842150451	-842150451	
accel	62754	62834	62795	-842150451	-842150451	-842150451	-842150451	
decel	62387	62918	62537	-842150451	-842150451	-842150451	-842150451	
accel	62942	63067	63008	-842150451	-842150451	-842150451	-842150451	
decel	63079	63252	63153	-842150451	-842150451	-842150451	-842150451	
accel	63266	63642	63425	-842150451	-842150451	-842150451	-842150451	
decel	63643	63959	63782	-842150451	-842150451	-842150451	-842150451	
accel	63938	64028	63984	-842150451	-842150451	-842150451	-842150451	
decel	64010	64246	64148	-842150451	-842150451	-842150451	-842150451	
accel	64307	64439	64373	-842150451	-842150451	-842150451	-842150451	
decel	64448	64525	64488	-842150451	-842150451	-842150451	-842150451	
decel	64876	65028	64936	-842150451	-842150451	-842150451	-842150451	
accel	65192	65316	65257	-842150451	-842150451	-842150451	-842150451	
decel	65317	65457	65379	-842150451	-842150451	-842150451	-842150451	
accel	65458	65590	65525	-842150451	-842150451	-842150451	-842150451	
decel	65647	65894	65778	-842150451	-842150451	-842150451	-842150451	
accel	65944	66081	66015	-842150451	-842150451	-842150451	-842150451	
decel	66082	66184	66122	-842150451	-842150451	-842150451	-842150451	
decel	66399	66523	66454	-842150451	-842150451	-842150451	-842150451	
accel	66703	66781	66739	-842150451	-842150451	-842150451	-842150451	
decel	66801	67074	66847	-842150451	-842150451	-842150451	-842150451	
accel	67091	67172	67131	-842150451	-842150451	-842150451	-842150451	
accel	67457	67574	67513	-842150451	-842150451	-842150451	-842150451	
decel	67526	68009	67682	-842150451	-842150451	-842150451	-842150451	
decel	68015	68098	68066	-842150451	-842150451	-842150451	-842150451	
accel	68099	68168	68133	-842150451	-842150451	-842150451	-842150451	
accel	68209	68279	68243	-842150451	-842150451	-842150451	-842150451	
decel	68315	68575	68425	-842150451	-842150451	-842150451	-842150451	
accel	68554	68691	68611	-842150451	-842150451	-842150451	-842150451	
decel	68730	68991	68860	-842150451	-842150451	-842150451	-842150451	
accel	68992	69267	69112	-842150451	-842150451	-842150451	-842150451	
decel	69268	80576	80419	-842150451	-842150451	-842150451	-842150451	
accel	80556	80719	80629	-842150451	-842150451	-842150451	-842150451	
accel	80795	80918	80866	-842150451	-842150451	-842150451	-842150451	
decel	80934	81029	80988	-842150451	-842150451	-842150451	-842150451	
accel	81109	81404	81266	-842150451	-842150451	-842150451	-842150451	
decel	81405	81675	81527	-842150451	-842150451	-842150451	-842150451	
accel	81621	81760	81673	-842150451	-842150451	-842150451	-842150451	
decel	81952	82043	81993	-842150451	-842150451	-842150451	-842150451	
accel	82056	82213	82105	-842150451	-842150451	-842150451	-842150451	
decel	82357	82454	82419	-842150451	-842150451	-842150451	-842150451	
accel	82455	82537	82493	-842150451	-842150451	-842150451	-842150451	
decel	82593	82677	82642	-842150451	-842150451	-842150451	-842150451	
accel	82678	82755	82710	-842150451	-842150451	-842150451	-842150451	
decel	82763	82852	82805	-842150451	-842150451	-842150451	-842150451	
accel	82854	83051	82950	-842150451	-842150451	-842150451	-842150451	
decel	83030	83094	83058	-842150451	-842150451	-842150451	-842150451	
decel	83107	83370	83211	-842150451	-842150451	-842150451	-842150451	
accel	83380	83480	83431	-842150451	-842150451	-842150451	-842150451	
decel	83441	83980	83607	-842150451	-842150451	-842150451	-842150451	
accel	83981	84478	84341	-842150451	-842150451	-842150451	-842150451	
decel	84452	84654	84608	-842150451	-842150451	-842150451	-842150451	
accel	84655	84775	84707	-842150451	-842150451	-842150451	-842150451	
decel	84758	85047	84898	-842150451	-842150451	-842150451	-842150451	
accel	85135	85214	85175	-842150451	-842150451	-842150451	-842150451	
decel	85215	85343	85273	-842150451	-842150451	-842150451	-842150451	
accel	85358	85506	85418	-842150451	-842150451	-842150451	-842150451	
decel	85904	86234	86112	-842150451	-842150451	-842150451	-842150451	
accel	86156	86595	86384	-842150451	-842150451	-842150451	-842150451	
decel	86771	87027	86919	-842150451	-842150451	-842150451	-842150451	
accel	87090	87227	87158	-842150451	-842150451	-842150451	-842150451	
decel	87245	87377	87304	-842150451	-842150451	-842150451	-842150451	
decel	87512	87609	87555	-842150451	-842150451	-842150451	-842150451	
accel	87616	87724	87665	-842150451	-842150451	-842150451	-842150451	
accel	88111	88375	88267	-842150451	-842150451	-842150451	-842150451	
decel	88406	88580	88490	-842150451	-842150451	-842150451	-842150451	
accel	88581	88808	88658	-842150451	-842150451	-842150451	-842150451	
decel	88835	88949	88890	-842150451	-842150451	-842150451	-842150451	
decel	89135	89314	89179	-842150451	-842150451	-842150451	-842150451	
accel	89335	89424	89381	-842150451	-842150451	-842150451	-842150451	
decel	89515	89613	89577	-842150451	-842150451	-842150451	-842150451	
accel	89614	89693	89653	-842150451	-842150451	-842150451	-842150451	
decel	89862	89979	89917	-842150451	-842150451	-842150451	-842150451	
decel	90280	90368	90322	-842150451	-842150451	-842150451	-842150451	
accel	90375	90509	90435	-842150451	-842150451	-842150451	-842150451	
accel	90829	90945	90890	-842150451	-842150451	-842150451	-842150451	
decel	90951	91118	91038	-842150451	-842150451	-842150451	-842150451	
accel	91133	91271	91209	-842150451	-842150451	-842150451	-842150451	
decel	91275	91353	91314	-842150451	-842150451	-842150451	-842150451	
accel	91354	91438	91392	-842150451	-842150451	-842150451	-842150451	
decel	91449	91550	91491	-842150451	-842150451	-842150451	-842150451	
decel	91646	91726	91683	-842150451	-842150451	-842150451	-842150451	
accel	91744	91831	91793	-842150451	-842150451	-842150451	-842150451	
decel	91851	91944	91901	-842150451	-842150451	-842150451	-842150451	
accel	91945	92022	91976	-842150451	-842150451	-842150451	-842150451	
accel	92052	92534	92260	-842150451	-842150451	-842150451	-842150451	
decel	92535	92837	92678	-842150451	-842150451	-842150451	-842150451	
decel	92866	93007	92981	-842150451	-842150451	-842150451	-842150451	
accel	93008	93083	93045	-842150451	-842150451	-842150451	-842150451	
accel	93223	93280	93251	-842150451	-842150451	-842150451	-842150451	
decel	93281	93346	93310	-842150451	-842150451	-842150451	-842150451	
decel	93496	93664	93631	-842150451	-842150451	-842150451	-842150451	
accel	93665	93762	93709	-842150451	-842150451	-842150451	-842150451	
decel	93798	93982	93874	-842150451	-842150451	-842150451	-842150451	
accel	93776	94074	93933	-842150451	-842150451	-842150451	-842150451	
accel	94224	94296	94262	-842150451	-842150451	-842150451	-842150451	
decel	94385	94463	94423	-842150451	-842150451	-842150451	-842150451	
accel	94486	94595	94530	-842150451	-842150451	-842150451	-842150451	
decel	94599	94736	94628	-842150451	-842150451	-842150451	-842150451	
accel	94708	94882	94789	-842150451	-842150451	-842150451	-842150451	
decel	94881	94955	94920	-842150451	-842150451	-842150451	-842150451	
accel	94956	95030	94987	-842150451	-842150451	-842150451	-842150451	
decel	95051	95161	95090	-842150451	-842150451	-842150451	-842150451	
accel	95738	95992	95874	-842150451	-842150451	-842150451	-842150451	
decel	96020	96107	96054	-842150451	-842150451	-842150451	-842150451	
accel	96405	96515	96463	-842150451	-842150451	-842150451	-842150451	
decel	96516	96677	96570	-842150451	-842150451	-842150451	-842150451	
accel	96777	96898	96846	-842150451	-842150451	-842150451	-842150451	
decel	96899	97008	96947	-842150451	-842150451	-842150451	-842150451	
decel	97072	97187	97123	-842150451	-842150451	-842150451	-842150451	
accel	97188	97344	97286	-842150451	-842150451	-842150451	-842150451	
accel	97423	97502	97469	-842150451	-842150451	-842150451	-842150451	
decel	97503	97587	97540	-842150451	-842150451	-842150451	-842150451	
accel	97644	97961	97781	-842150451	-842150451	-842150451	-842150451	
decel	97962	98497	98365	-842150451	-842150451	-842150451	-842150451	
accel	98618	98704	98660	-842150451	-842150451	-842150451	-842150451	
decel	98732	98878	98799	-842150451	-842150451	-842150451	-842150451	
decel	99205	99297	99256	-842150451	-842150451	-842150451	-842150451	
accel	99356	99445	99408	-842150451	-842150451	-842150451	-842150451	
decel	99446	99543	99477	-842150451	-842150451	-842150451	-842150451	
accel	99544	99628	99594	-842150451	-842150451	-842150451	-842150451	
decel	99629	99698	99657	-842150451	-842150451	-842150451	-842150451	
decel	99869	100046	99948	-842150451	-842150451	-842150451	-842150451	
accel	100109	100405	100261	-842150451	-842150451	-842150451	-842150451	
decel	100523	100585	100554	-842150451	-842150451	-842150451	-842150451	
accel	100586	100647	100614	-842150451	-842150451	-842150451	-842150451	
accel	100683	100929	100815	-842150451	-842150451	-842150451	-842150451	
decel	100930	101486	101066	-842150451	-842150451	-842150451	-842150451	
accel	101750	101911	101840	-842150451	-842150451	-842150451	-842150451	
decel	102130	102251	102190	-842150451	-842150451	-842150451	-842150451	
accel	102289	102657	102543	-842150451	-842150451	-842150451	-842150451	
decel	102647	102862	102794	-842150451	-842150451	-842150451	-842150451	
accel	102863	103027	102950	-842150451	-842150451	-842150451	-842150451	
decel	103034	103169	103098	-842150451	-842150451	-842150451	-842150451	
accel	103170	103424	103362	-842150451	-842150451	-842150451	-842150451	
decel	103425	103556	103489	-842150451	-842150451	-842150451	-842150451	
accel	103580	103756	103647	-842150451	-842150451	-842150451	-842150451	
decel	103800	104198	103901	-842150451	-842150451	-842150451	-842150451	
accel	104269	104370	104318	-842150451	-842150451	-842150451	-842150451	
decel	104402	104589	104520	-842150451	-842150451	-842150451	-842150451	
accel	104641	104744	104693	-842150451	-842150451	-842150451	-842150451	
decel	104753	104895	104824	-842150451	-842150451	-842150451	-842150451	
accel	104896	105035	104960	-842150451	-842150451	-842150451	-842150451	
decel	105040	105159	105097	-842150451	-842150451	-842150451	-842150451	
accel	105307	105440	105369	-842150451	-842150451	-842150451	-842150451	
accel	105676	105759	105719	-842150451	-842150451	-842150451	-842150451	
decel	105429	105884	105535	-842150451	-842150451	-842150451	-842150451	
accel	105959	106089	106026	-842150451	-842150451	-842150451	-842150451	
decel	106121	106350	106227	-842150451	-842150451	-842150451	-842150451	
accel	106366	106482	106424	-842150451	-842150451	-842150451	-842150451	
decel	106483	106705	106655	-842150451	-842150451	-842150451	-842150451	
accel	106689	106879	106784	-842150451	-842150451	-842150451	-842150451	
decel	106880	107069	106960	-842150451	-842150451	-842150451	-842150451	
accel	107080	107208	107144	-842150451	-842150451	-842150451	-842150451	
decel	107211	107454	107336	-842150451	-842150451	-842150451	-842150451	
accel	107483	107623	107552	-842150451	-842150451	-842150451	-842150451	
decel	107798	107914	107878	-842150451	-842150451	-842150451	-842150451	
accel	107912	108039	107967	-842150451	-842150451	-842150451	-842150451	
decel	108069	108278	108186	-842150451	-842150451	-842150451	-842150451	
accel	108291	108432	108360	-842150451	-842150451	-842150451	-842150451	
decel	108429	108525	108469	-842150451	-842150451	-842150451	-842150451	
accel	108527	108636	108582	-842150451	-842150451	-842150451	-842150451	
decel	108643	108811	108721	-842150451	-842150451	-842150451	-842150451	
accel	108806	108910	108843	-842150451	-842150451	-842150451	-842150451	
decel	108924	109112	109038	-842150451	-842150451	-842150451	-842150451	
accel	109113	109306	109214	-842150451	-842150451	-842150451	-842150451	
decel	109301	109441	109359	-842150451	-842150451	-842150451	-842150451	
accel	109554	109668	109610	-842150451	-842150451	-842150451	-842150451	
decel	109676	109921	109792	-842150451	-842150451	-842150451	-842150451	
accel	109969	110082	110025	-842150451	-842150451	-842150451	-842150451	
decel	110106	110250	110178	-842150451	-842150451	-842150451	-842150451	
accel	110270	110412	110343	-842150451	-842150451	-842150451	-842150451	
decel	110430	110615	110528	-842150451	-842150451	-842150451	-842150451	
accel	110660	110798	110724	-842150451	-842150451	-842150451	-842150451	
decel	110832	111024	110925	-842150451	-842150451	-842150451	-842150451	
accel	111032	111185	111109	-842150451	-842150451	-842150451	-842150451	
decel	111209	111423	111313	-842150451	-842150451	-842150451	-842150451	
accel	111481	111612	111547	-842150451	-842150451	-842150451	-842150451	
decel	111613	111737	111662	-842150451	-842150451	-842150451	-842150451	
accel	111887	112014	111946	-842150451	-842150451	-842150451	-842150451	
decel	111998	112222	112119	-842150451	-842150451	-842150451	-842150451	
accel	112276	112402	112340	-842150451	-842150451	-842150451	-842150451	
decel	112403	112666	112453	-842150451	-842150451	-842150451	-842150451	
accel	112652	112842	112758	-842150451	-842150451	-842150451	-842150451	
decel	112842	113071	112949	-842150451	-842150451	-842150451	-842150451	
accel	113102	113227	113166	-842150451	-842150451	-842150451	-842150451	
decel	113203	113409	113313	-842150451	-842150451	-842150451	-842150451	
accel	113451	113585	113520	-842150451	-842150451	-842150451	-842150451	
decel	113596	113780	113681	-842150451	-842150451	-842150451	-842150451	
decel	113897	113951	113921	-842150451	-842150451	-842150451	-842150451	
accel	113787	114090	113922	-842150451	-842150451	-842150451	-842150451	
accel	114350	114449	114401	-842150451	-842150451	-842150451	-842150451	
accel	114581	114723	114662	-842150451	-842150451	-842150451	-842150451	
decel	114177	114804	114470	-842150451	-842150451	-842150451	-842150451	
decel	114881	114998	114950	-842150451	-842150451	-842150451	-842150451	
accel	114980	115175	115082	-842150451	-842150451	-842150451	-842150451	
decel	115213	115459	115323	-842150451	-842150451	-842150451	-842150451	
accel	115511	115632	115573	-842150451	-842150451	-842150451	-842150451	
decel	115633	115773	115682	-842150451	-842150451	-842150451	-842150451	
decel	115778	115894	115852	-842150451	-842150451	-842150451	-842150451	
accel	115895	116014	115958	-842150451	-842150451	-842150451	-842150451	
decel	116012	116113	116050	-842150451	-842150451	-842150451	-842150451	
decel	116214	116365	116328	-842150451	-842150451	-842150451	-842150451	
accel	116359	116468	116414	-842150451	-842150451	-842150451	-842150451	
decel	116462	116552	116502	-842150451	-842150451	-842150451	-842150451	
decel	116642	116741	116697	-842150451	-842150451	-842150451	-842150451	
accel	116742	116857	116805	-842150451	-842150451	-842150451	-842150451	
decel	116858	116976	116911	-842150451	-842150451	-842150451	-842150451	
accel	116963	117096	116995	-842150451	-842150451	-842150451	-842150451	
decel	117097	117187	117147	-842150451	-842150451	-842150451	-842150451	
accel	117179	117288	117240	-842150451	-842150451	-842150451	-842150451	
decel	117289	117488	117344	-842150451	-842150451	-842150451	-842150451	
accel	117457	117735	117588	-842150451	-842150451	-842150451	-842150451	
decel	117736	118004	117845	-842150451	-842150451	-842150451	-842150451	
accel	118056	118161	118112	-842150451	-842150451	-842150451	-842150451	
decel	118162	118252	118202	-842150451	-842150451	-842150451	-842150451	
accel	118253	118369	118282	-842150451	-842150451	-842150451	-842150451	
decel	118370	118498	118454	-842150451	-842150451	-842150451	-842150451	
accel	118473	118634	118554	-842150451	-842150451	-842150451	-842150451	
decel	118625	118733	118677	-842150451	-842150451	-842150451	-842150451	
accel	118738	118897	118811	-842150451	-842150451	-842150451	-842150451	
accel	119180	119251	119212	-842150451	-842150451	-842150451	-842150451	
decel	118793	119503	119124	-842150451	-842150451	-842150451	-842150451	
accel	119387	119561	119472	-842150451	-842150451	-842150451	-842150451	
decel	119562	119729	119636	-842150451	-842150451	-842150451	-842150451	
accel	119715	120244	119859	-842150451	-842150451	-842150451	-842150451	
accel	120491	120597	120548	-842150451	-842150451	-842150451	-842150451	
accel	121031	121101	121070	-842150451	-842150451	-842150451	-842150451	
decel	120333	121216	120630	-842150451	-842150451	-842150451	-842150451	
accel	121253	121369	121289	-842150451	-842150451	-842150451	-842150451	
decel	121368	121529	121423	-842150451	-842150451	-842150451	-842150451	
decel	121597	121691	121635	-842150451	-842150451	-842150451	-842150451	
accel	121690	121826	121748	-842150451	-842150451	-842150451	-842150451	
decel	121913	122182	122047	-842150451	-842150451	-842150451	-842150451	
accel	122183	122371	122273	-842150451	-842150451	-842150451	-842150451	
decel	122410	122552	122491	-842150451	-842150451	-842150451	-842150451	
accel	122566	122710	122654	-842150451	-842150451	-842150451	-842150451	
decel	122716	122804	122757	-842150451	-842150451	-842150451	-842150451	
accel	122805	122884	122834	-842150451	-842150451	-842150451	-842150451	
accel	122941	123136	123107	-842150451	-842150451	-842150451	-842150451	
decel	123137	123228	123183	-842150451	-842150451	-842150451	-842150451	
accel	123239	123374	123288	-842150451	-842150451	-842150451	-842150451	
decel	123381	123572	123452	-842150451	-842150451	-842150451	-842150451	
accel	123573	123798	123703	-842150451	-842150451	-842150451	-842150451	
accel	123846	123998	123938	-842150451	-842150451	-842150451	-842150451	
decel	124023	124160	124091	-842150451	-842150451	-842150451	-842150451	
accel	124180	124445	124274	-842150451	-842150451	-842150451	-842150451	
decel	124432	124727	124486	-842150451	-842150451	-842150451	-842150451	
